store,sku,date,amount_miss_sales
170,100630105000002,2022-01-03,1
171,100630105000002,2022-01-03,0
172,100630105000002,2022-01-03,0
173,100630105000002,2022-01-03,0
174,100630105000002,2022-01-03,0
175,100630105000002,2022-01-03,0
179,100630105000002,2022-01-03,1
18,100630105000002,2022-01-03,2
180,100630105000002,2022-01-03,0
181,100630105000002,2022-01-03,0
182,100630105000002,2022-01-03,0
183,100630105000002,2022-01-03,0
184,100630105000002,2022-01-03,0
185,100630105000002,2022-01-03,0
186,100630105000002,2022-01-03,0
188,100630105000002,2022-01-03,0
189,100630105000002,2022-01-03,0
201,100630105000002,2022-01-03,0
202,100630105000002,2022-01-03,0
203,100630105000002,2022-01-03,0
21,100630105000002,2022-01-03,0
213,100630105000002,2022-01-03,0
214,100630105000002,2022-01-03,0
215,100630105000002,2022-01-03,0
216,100630105000002,2022-01-03,0
217,100630105000002,2022-01-03,0
218,100630105000002,2022-01-03,0
219,100630105000002,2022-01-03,0
22,100630105000002,2022-01-03,0
221,100630105000002,2022-01-03,0
26,100630105000002,2022-01-03,0
27,100630105000002,2022-01-03,0
28,100630105000002,2022-01-03,0
29,100630105000002,2022-01-03,0
3,100630105000002,2022-01-03,0
3005,100630105000002,2022-01-03,0
3202,100630105000002,2022-01-03,0
3205,100630105000002,2022-01-03,0
3208,100630105000002,2022-01-03,0
3245,100630105000002,2022-01-03,0
35,100630105000002,2022-01-03,0
36,100630105000002,2022-01-03,0
37,100630105000002,2022-01-03,0
4,100630105000002,2022-01-03,0
4104,100630105000002,2022-01-03,1
4123,100630105000002,2022-01-03,0
4129,100630105000002,2022-01-03,0
4133,100630105000002,2022-01-03,0
4134,100630105000002,2022-01-03,0
42,100630105000002,2022-01-03,0
43,100630105000002,2022-01-03,0
44,100630105000002,2022-01-03,0
45,100630105000002,2022-01-03,0
46,100630105000002,2022-01-03,0
47,100630105000002,2022-01-03,0
4803,100630105000002,2022-01-03,1
4805,100630105000002,2022-01-03,0
4904,100630105000002,2022-01-03,0
4906,100630105000002,2022-01-03,0
5,100630105000002,2022-01-03,0
50,100630105000002,2022-01-03,0
51,100630105000002,2022-01-03,0
52,100630105000002,2022-01-03,0
55,100630105000002,2022-01-03,0
56,100630105000002,2022-01-03,0
57,100630105000002,2022-01-03,0
61,100630105000002,2022-01-03,0
63,100630105000002,2022-01-03,0
64,100630105000002,2022-01-03,0
67,100630105000002,2022-01-03,0
68,100630105000002,2022-01-03,0
69,100630105000002,2022-01-03,2
7,100630105000002,2022-01-03,0
73,100630105000002,2022-01-03,0
74,100630105000002,2022-01-03,0
